,제목,가수,가사
40,이제 나만 믿어요,임영웅,"무얼 믿은 걸까 부족했던 내게서
나조차 못 믿던 내게 여태 머문 사람
무얼 봤던 걸까 가진 것도 없던 내게
무작정 내 손을 잡아 날 이끈 사람
최고였어
그대 눈 속에 비친 내 모습
이제는 내게서 그댈 비춰줄게
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나만 두고 가던
나만 스쳐 간 행운이 모여
그대가 되어서 내게 와준 거야
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나의 마지막 주인공이 되어
다신 누구 앞에서도
그대는 고개 숙이지 마요
내가 보지 못했던 홀로 고단했던 시간
고맙고 미안해요 사랑해요
이 세상은
우리를 두고 오랜 장난을 했고
우린 속지 않은 거야
이제 울지 마요
좋을 땐 밤새도록 맘껏 웃어요
전부 그대 꺼니까
그대는 걱정 말아요
이제 나만 믿어요"
41,한 페이지가 될 수 있게,DAY6 (데이식스),"솔직히 말할게
많이 기다려 왔어
너도 그랬을 거라 믿어
오늘이 오길
매일같이 달력을 보면서
솔직히 나에게도
지금 이 순간은
꿈만 같아 너와 함께라
오늘을 위해
꽤 많은 걸 준비해 봤어
All about you and I
다른 건 다 제쳐 두고
Now come with me
Take my hand
아름다운 청춘의 한 장
함께 써내려 가자
너와의 추억들로
가득 채울래
Come on
아무 걱정도 하지는 마
나에게 다 맡겨 봐
지금 이 순간이
다시 넘겨볼 수 있는
한 페이지가 될 수 있게
This is our page
Our page
솔직히 말할게
지금이 오기까지
마냥 순탄하진 않았지
오늘이 오길
나도 목 빠져라 기다렸어
솔직히 나보다도
네가 몇 배는 더
힘들었을 거라고 믿어
오늘을 위해
그저 견뎌줘서 고마워
All about you and I
다른 건 다 제쳐 두고
Now come with me
Take my hand
아름다운 청춘의 한 장
함께 써내려 가자
너와의 추억들로
가득 채울래
Come on
아무 걱정도 하지는 마
나에게 다 맡겨 봐
지금 이 순간이
다시 넘겨볼 수 있는
한 페이지가 될 수 있게
Want you to
Come on out and have fun
Want us to
Have the time of our life
Oh
너와의 추억들로
가득 채울래
Come on
아무 걱정도 하지는 마
나에게 다 맡겨 봐
지금 이 순간이
다시 넘겨볼 수 있는
한 페이지가 될 수 있게
This is our page
Our page"
42,Ditto,NewJeans,"Woo woo woo woo ooh
Woo woo woo woo
Stay in the middle
Like you a little
Don’t want no riddle
말해줘 say it back
Oh say it ditto
아침은 너무 멀어
So say it ditto
훌쩍 커버렸어
함께한 기억처럼
널 보는 내 마음은
어느새 여름 지나 가을
기다렸지 all this time
Do you want somebody
Like I want somebody
날 보고 웃었지만
Do you think about me now yeah
All the time yeah
All the time
I got no time to lose
내 길었던 하루
난 보고 싶어
Ra-ta-ta-ta 울린 심장 (Ra-ta-ta-ta)
I got nothing to lose
널 좋아한다고
wooah wooah wooah
Ra-ta-ta-ta 울린 심장 (Ra-ta-ta-ta)
But I don't want to
Stay in the middle
Like you a little
Don’t want no riddle
말해줘 say it back
Oh say it ditto
아침은 너무 멀어
So say it ditto
I don't want to
Walk in this 미로
다 아는 건 아니어도
바라던 대로
말해줘 Say it back
Oh say it ditto
I want you so, want you
So say it ditto
Not just anybody
너를 상상했지
항상 닿아있던
처음 느낌 그대로 난
기다렸지 all this time
I got nothing to lose
널 좋아한다고
wooah wooah wooah
Ra-ta-ta-ta 울린 심장 (Ra-ta-ta-ta)
But I don't want to
Stay in the middle
Like you a little
Don’t want no riddle
말해줘 say it back
Oh say it ditto
아침은 너무 멀어
So say it ditto
I don't want to
Walk in this 미로
다 아는 건 아니어도
바라던 대로
말해줘 Say it back
Oh say it ditto
I want you so, want you
So say it ditto
Woo woo woo woo ooh
Woo woo woo woo"
43,사랑인가 봐,멜로망스,"너와 함께 하고 싶은 일들을
상상하는 게
요즘 내 일상이 되고
너의 즐거워하는 모습을 보고 있으면
자연스레 따라 웃고 있는 걸
너의 행동에 설레어하고 뒤척이다가
지새운 밤이 많아지는데
이건 누가 봐도 사랑일 텐데
종일 함께면 질릴 텐데
나 돌아서도 온통 너인 건
아무래도 사랑인가 봐
점점 너와 하고 싶은 일들 생각하면서
하룰 보낸 날이 많아지는데
이건 누가 봐도 사랑일 텐데
종일 함께면 질릴 텐데
나 돌아서도 온통 너인 건
아무래도 사랑인가 봐
너의 행복해하는 모습을 보고 있으면
나도 모르게 따라 웃는데
이 정도면 알아줄 만하잖아
너도 용기 낼만 하잖아
나만 이런 게 아니라면
우리 만나볼 만하잖아
아무래도 사랑인가 봐"
44,무지개,임영웅,"오늘 하루 어땠었나요
많이 힘들었나요
쉬지 않고 달려왔던 길에서
나와 함께 쉬어가요
그냥 아무런 준비도 없이
떠나볼까요
평범해도 좋으니까
우리 함께 가요
Du Du Du Du Du
행복 가득 담은 배낭 하나 메고서
답답했던 일상과 도심을 벗어나
Du Du Du Du
Du Du Du Du
떠나볼래요
힘껏 살다 보니 무뎌져
헝클어진 머리도
괜찮다며 그댈 안아줄 사람
바로 그대 곁에 있죠
까만 선글라스 하나 챙겨서
떠나볼까요
평범해도 좋으니까
우리 함께 가요
Du Du Du Du Du
행복 가득 담은 배낭 하나 메고서
답답했던 일상과 도심을 벗어나
Du Du Du Du
Du Du Du Du
떠나볼래요
우리 함께 가요
Du Du Du Du Du
행복 가득 담은 배낭 하나 메고서
답답했던 일상과 도심을 벗어나
Du Du Du Du
Du Du Du Du
떠나볼래요
우리 함께 가요
Du Du Du Du Du
Du Du Du Du
Du Du Du Du
떠나볼래요
Du Du Du Du
Du Du Du Du
떠나볼래요
Du Du Du Du
Du Du Du Du
지금 떠나요"
45,ETA,NewJeans,"낭비하지 마 네 시간은 은행
서둘러서 정리해 걔는 real bad
받아주면 안돼
No you better trust me
답답해서 그래
저번에도 봤지만 너 없을 때
걘 여기저기에 눈빛을 뿌리네
아주 눈부시게
Honestly 우리 사이에
He’s been totally lying yeah
내 생일 파티에 너만 못 온 그날
혜진이가 엄청 혼났던 그날
지원이가 여친이랑 헤어진 그날
걔는 언제나 네가 없이 그날
너무 멋있는 옷을 입고 그날
Heard him say
We can go wherever you like
Baby say the words and I’m down
All I need is you on my side
We can go whenever you like
Now where are you?
Mmhmm
What’s your ETA, what’s your ETA
Mmhmm
What’s your ETA, what’s your ETA
Mmhmm
What’s your ETA, what’s your ETA
I’ll be there right now, lose that boy on her arm
아파 맘이 네가 걔 못 잊을 때
내 말 믿어 you deserve better than that
내가 도와줄게
걔는 그냥 playin’
Boys be always lying yeah
내 생일 파티에 너만 못 온 그날
혜진이가 엄청 혼났던 그날
지원이가 여친이랑 헤어진 그날
걔는 언제나 네가 없이 그날
너무 멋있는 옷을 입고 그날
Heard him say
We can go wherever you like
Baby say the words and I’m down
All I need is you on my side
We can go wherever you like
Now where are you?
Mmhmm
What’s your ETA, what’s your ETA
Mmhmm
What’s your ETA, what’s your ETA
Mmhmm
What’s your ETA, what’s your ETA
I’ll be there right now, lose that boy on her arm
Need a boy on my arm
Need a boy on my arm
Want a boy on my arm
Need a boy on my arm"
46,London Boy,임영웅,"꿈에 그리던 그곳 난 여기 있어
저 푸른 바다 위로 널 닮은 하늘
I’m in London oh,
I’m in London, yeah
드넓은 공원 안에 널 담은 향기
가는 모든 곳마다 난 네가 보여
I’m in London,
yeah, I’m in London, oh
나지막한 소리가 들려와
수많은 별들 사이 너에게
Baby baby baby my baby
세상 누구보다 널 사랑해
모든 힘 다해 너를 불러
Hold me tight baby,
you’re my everything
널 만나고 난 변했어
세상 누구보다 널 사랑해
모든 힘 다해 너를 불러
I’m London, London Boy
Oh oh no no no
London Boy yeah
셰익스피어, 처칠, 비틀즈, 숀 코네리
해리포터, 데이비드 베컴 모든 게 있어
Baby You are my London Girl
행복은 너와 함께 즐기는 거야
내 모든 걸 다 줘도 아깝지 않아
너는 내게, Oh
그런 사람, Oh
나지막한 소리가 들려와
수많은 별들 사이 너에게
Baby baby baby my baby
세상 누구보다 널 사랑해
모든 힘 다해 너를 불러
Hold me tight baby,
you’re my everything
널 만나고 난 변했어
세상 누구보다 널 사랑해
모든 힘 다해 너를 불러
I’m London, London Boy
널 만나고 내가 변했다
Oh, I’m London Boy
Baby baby baby my baby
세상 누구보다 널 사랑해
모든 힘 다해 너를 불러
Hold me tight baby,
you’re my everything
널 만나고 난 변했어
세상 누구보다 널 사랑해
모든 힘 다해 너를 불러
I’m London, London Boy
La la la la la la la la
La la la la la la la la
La la la la la la la la
I’m London, London Boy
La la la la la la la la
La la la la la la la la
La la la la la la la la
London Boy
London Boy
London Boy"
47,아버지,임영웅,"하얀 머리 뽑아 달라며
한 개 백 원이라던
그 시절 다 지나가고
이젠 흰 눈만 남았네
그렇게도 힘이 드냐며
나를 위로하시다
어느새 잠들어버린
주름만 남은 내 아버지
세상이 아무리 힘들어도
당신 있으면 견딜 것 같아
오래오래 날 지키며
그냥 곁에만 있어 주세요
활짝 웃는 모습이 어린애 같아 보여도
아프다 말도 못 하는 사람
이제는 내가 지켜줄게
어린아이로 돌아가 버린
사랑하는 내 아버지
오래오래 날 지키며
그냥 곁에만 있어 주세요
활짝 웃는 모습이
어린애 같아 보여도
아프다 말도 못 하는 사람
이제는 내가 지켜줄게
어린아이로 돌아가 버린
사랑하는 내 아버지
사랑해요 내 아버지"
48,사건의 지평선,윤하 (YOUNHA),"생각이 많은 건 말이야
당연히 해야 할 일이야
나에겐 우리가 지금 1순위야
안전한 유리병을 핑계로
바람을 가둬 둔 것 같지만

기억나? 그날의 우리가
잡았던 그 손엔 말이야
설레임보다 커다란 믿음이 담겨서
난 함박웃음을 지었지만
울음이 날 것도 같았어
소중한 건 언제나 두려움이니까

문을 열면 들리던 목소리
너로 인해 변해있던 따뜻한 공기
여전히 자신 없지만 안녕히

저기, 사라진 별의 자리
아스라이 하얀 빛
한동안은 꺼내 볼 수 있을 거야
아낌없이 반짝인 시간은
조금씩 옅어져 가더라도
너와 내 맘에 살아 숨 쉴 테니


여긴, 서로의 끝이 아닌
새로운 길 모퉁이
익숙함에 진심을 속이지 말자
하나 둘 추억이 떠오르면
많이 많이 그리워할 거야
고마웠어요 그래도 이제는
사건의 지평선 너머로

솔직히 두렵기도 하지만
노력은 우리에게 정답이 아니라서
마지막 선물은 산뜻한 안녕

저기, 사라진 별의 자리
아스라이 하얀 빛
한동안은 꺼내 볼 수 있을 거야
아낌없이 반짝인 시간은
조금씩 옅어져 가더라도
너와 내 맘에 살아 숨 쉴 테니

여긴, 서로의 끝이 아닌
새로운 길 모퉁이
익숙함에 진심을 속이지 말자
하나 둘 추억이 떠오르면
많이 많이 그리워할 거야
고마웠어요 그래도 이제는
사건의 지평선 너머로

저기, 사라진 별의 자리
아스라이 하얀 빛
한동안은 꺼내 볼 수 있을 거야
아낌없이 반짝인 시간은
조금씩 옅어져 가더라도
너와 내 맘에 살아 숨 쉴 테니

여긴, 서로의 끝이 아닌
새로운 길 모퉁이
익숙함에 진심을 속이지 말자
하나 둘 추억이 떠오르면
많이 많이 그리워할 거야
고마웠어요 그래도 이제는
사건의 지평선 너머로

사건의 지평선 너머로"
49,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),"일부러 몇 발자국 물러나
내가 없이 혼자 걷는 널 바라본다
옆자리 허전한 너의 풍경
흑백 거리 가운데 넌 뒤돌아본다
그때 알게 되었어
난 널 떠날 수 없단 걸
우리 사이에 그 어떤 힘든 일도
이별보단 버틸 수 있는 것들이었죠
어떻게 이별까지 사랑하겠어
널 사랑하는 거지
사랑이라는 이유로
서로를 포기하고
찢어질 것같이 아파할 수 없어 난
두세 번 더 길을 돌아갈까
적막 짙은 도로 위에 걸음을 포갠다
아무 말 없는 대화 나누며
주마등이 길을 비춘 먼 곳을 본다
그때 알게 되었어
난 더 갈 수 없단 걸
한 발 한 발 이별에 가까워질수록
너와 맞잡은 손이 사라지는 것 같죠
어떻게 이별까지 사랑하겠어
널 사랑하는 거지
사랑이라는 이유로
서로를 포기하고
찢어질 것같이 아파할 수 없어 난
어떻게 내가 어떻게 너를
이후에 우리 바다처럼 깊은 사랑이
다 마를 때까지
기다리는 게 이별일 텐데
어떻게 내가 어떻게 너를
이후에 우리 바다처럼 깊은 사랑이
다 마를 때까지
기다리는 게 이별일 텐데"
